2022-05-04/20:53:23		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-05-04/20:53:24		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-05-04/20:53:24		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-05-04/20:53:25		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-05-04/20:53:25		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-05-04/20:53:26		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-05-04/20:53:26		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-05-04/20:53:27		 wafer_28042020_031911.csv: File Transformed successfully!!
2022-05-04/20:53:27		 wafer_29012020_050617.csv: File Transformed successfully!!
2022-05-05/12:21:57		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-05-05/12:21:57		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-05-05/12:21:58		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-05-05/12:21:58		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-05-05/12:21:58		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-05-05/12:21:59		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-05-05/12:21:59		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-05-05/12:22:00		 wafer_28042020_031911.csv: File Transformed successfully!!
2022-05-05/12:22:00		 wafer_29012020_050617.csv: File Transformed successfully!!
2022-05-05/12:37:32		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-05-05/12:37:32		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-05-05/12:37:33		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-05-05/12:37:33		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-05-05/12:37:34		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-05-05/12:37:34		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-05-05/12:37:35		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-05-05/12:37:35		 wafer_28042020_031911.csv: File Transformed successfully!!
2022-05-05/12:37:36		 wafer_29012020_050617.csv: File Transformed successfully!!
